; 합성 체인 스테이징 v0.15 — 우화집 분해 실행: 생물 22종 → 뿌리 42(T1 24+T2 18)+재결합 T3 17+2경로 4+모순쌍 3(잎 6). ★치명(독안)·회피(활공·눈치싸움)·도시 생산(야금계)·발효 앵커(취기체질) 보강
; 합성 체인 스테이징 v0.14 — 티어다운 26 선천 편입+전량 배선(B-2 실현 T2 5 + 상위 연결 5 + 2경로 16). T1 증원 1갱도 완료
; 합성 체인 스테이징 v0.13 — 규칙③ 개정(T1/T2 단독 완결 폐지 — 전원 T3+ 참여) 대량 배선: 신규 T3 39·2경로 8·의연/꿋꿋함 정정. 변용 칸=상태 사다리 면제. 병합 후보 별도(새드→S기질·마조→M기질·덩치→거구·빈유→절벽)
; 합성 체인 스테이징 v0.12 — 규칙⑥ 전면 처리(T2 종착 0 달성 목표): 상향 배선 9 + 트리거 해피 B-1 체인 완성 + 순백인형 재배선
; 합성 체인 스테이징 v0.11 — 고아 검증 패스: 진짜 고아 12(미참여+무효과) 중 5 구제(2경로 편입: 달관·침묵·월광용해=원안 복원, 침식물기·침식사=신규). 잔여 7=판정 대기(trait_map 대장)
; 합성 체인 스테이징 v0.10 — PT 순혈도 인하: **행성 극 7 = 기질(PT)+상응 금속(BT) 별-금속 대응 레시피**(해맑음=황금·달뜸=백은·화끈=무쇠·금슬=적동·수더분=진사·목가=주석·토박이=연갑) + 구 4쌍 극 5곳 AT/BT 주입(명랑=회복빠름·음울=회복느림·억압=수치심과잉·해방=과감도·꿋꿋함=강인). 프라이드쌍·엄살=순혈 유지(전부 교차일 필요 없음)
; 합성 체인 스테이징 v0.9 — CT 순혈도 인하(레티어스: 원 설계 의도=영역 교차): 원소 격자 11곳에 교차 재료 주입(금속 5: 진사·연갑·황금·주석·적동×2 / PT 4: 감정폭발·관찰벽·소유욕·유혹 / AT 1: 독감도 / BT 1: 대체형). ★자 격자 뿌리 없음 해소=적동이 뿌리 담당. ⚠T1 재료 4곳=공식상 T2 권장, 잠정 허용
; 합성 체인 스테이징 v0.8 — BT·AT 이관분 공석 사다리 9 채움(금속 재료 배선: 무쇠×2·연갑·적동, 교차 T3 재활용 4: 기록가·화염 단조사·촉매체질·점액 산란). 효과 저작=상향식 원칙(레티어스: T1/T2 작은 효과 먼저 확정→합치며 올리면서 밸런스)
; 합성 체인 스테이징 v0.7 — 승격 7쌍 극 전원 T3 통일(구 4쌍 극 8 레시피 신설). 원본 16쌍=낮은 모순층(극 T1~T2→잎 T3) 유지, 승격 7쌍=높은 층(극 T3→잎 T4). 정합 교체: 해맑음 재료 명랑→낙관, 여왕 재료 프라이드높음→오만
; 합성 체인 스테이징 v0.6 — 행성 극=T3 확정(레티어스 정정: 베이스→행성 극 T3 합성→모순 발동→별 잎 T4 사다리 완성). 극 레시피 7 잠정 + 승격 후보 3쌍 대기
; 합성 체인 스테이징 v0.5 — PT 무게=티어 명명 체계(레티어스): 일상어 극=T2/고전 성명 잎=T4. 모순 승격 6→7쌍(행성 3쌍 편입, 미선정 해소). 잎 14 전부 천문 결 세트
; 합성 체인 스테이징 v0.4 (2026-07-17) — BT T4 확장(레티어스: 신체=도시 배치 연동 강화): 4→13석(+전투2·방어1·조교2·탐사생활3·재생1, 전부 공석). 공식: T3=베이스2(비대칭)/T4=T3+T2(최대)/T5=합성 불가
; CT 재작업: 불괴 중간=부동성채(교차 재활용, 성채 폐기). PT 모순 승격=모순 발동 문법(합성 아님). 신규 T3 잠정명·잎 미확정=채움 대기 목록 참조(뷰어 상단)
cat|lane|face|fruit|tier|chain|status|note
CT|지원|단면|펠리컨|T4|자기수복 + 진정 => 간호(T3) / 간호 + 수호 => 펠리컨(T4)|잠정|제 피로 아군을 살림 — 자기 HP 소모 아군 회복(팔레트 ☆)
CT|회피|단면|수사슴|T4|안개장 + 회피무 => 무영(T3) / 무영 + 간파 => 수사슴(T4)|잠정|잡히지 않는 질주 — 회피 극(팔레트 ☆)
CT|대정점|양(陽)|양(陽)|T5|(합성 아님 — 도달 문법 재설계 대기)|철회|T5 합성 배제 확정(2026-07-17) — 상태/시그니처 도달로 재설계
CT|대정점|음(陰)|음(陰)|T5|(합성 아님 — 도달 문법 재설계 대기)|철회|T5 합성 배제 확정(2026-07-17) — 상태/시그니처 도달로 재설계
PT|모순 승격|갈림|명랑 ⟷ 음울|T4|(모순 발동) => 통합 제월(霽月) / 분열 변광(變光)|잎 확정(잠정)|光風霽月 — 갠 하늘의 달(명암을 다 지난 맑음) / 변광성(들쭉날쭉 빛). 목성↔토성 행성 결 정합. 달관 충돌 해소(2026-07-17)
PT|모순 승격|갈림|프라이드높음 ⟷ 프라이드낮음|T4|(모순 발동) => 통합 긍지 / 분열 자기기만|잎 확정(잠정)|허영 기존명 회피 완료
PT|모순 승격|갈림|억압 ⟷ 해방|T4|(모순 발동) => 통합 중용 / 분열 일탈|잎 확정(잠정)|폭주 충돌 해소(TSYN AA 폭주 별개 유지)
PT|모순 승격|갈림|의연 ⟷ 엄살|T4|(모순 발동) => 통합 항심(恒心) / 분열 범람|잎 확정(잠정)|정정: PT_HARDY_MIND=의연(꿋꿋함 아님 — 오배정 수정 2026-07-17)
PT|모순 승격|갈림|해맑음 ⟷ 달뜸|T4|(모순 발동) => 통합 일월(日月) / 분열 월식(月蝕)|잎 확정(잠정)|행성 쌍(태양↔달). 해와 달이 한 몸 / 서로를 삼킴. 극=일상어 T2 신규
PT|모순 승격|갈림|화끈 ⟷ 금슬|T4|(모순 발동) => 통합 태백(太白) / 분열 형혹(熒惑)|잎 확정(잠정)|행성 쌍(화성↔금성). 샛별의 서슬 / 현혹하는 재앙성
PT|모순 승격|갈림|토박이 ⟷ 목가|T4|(모순 발동) => 통합 세성(歲星) / 분열 진성(鎭星)|잎 확정(잠정)|행성 쌍(토성↔목성). 명랑↔음울과 별개 쌍으로 병존. 수더분(수성)=홀로 극
PT|단독 승격|—|군림|T4|지배욕 + 오만 => 위광(T3) / 위광 + 고귀 => 군림(T4)|승격 재배치|위광=신규 잠정. TSYN PP04 깊이 보정
PT|단독 승격|—|매혹술|T4|교활 + 유혹 => 요설(T3) / 요설 + 소악마 => 매혹술(T4)|승격 재배치|요설=신규 잠정. TSYN PP08
PT|단독 승격|—|충의|T4|충직 + 의리 => 신의(T3) / 신의 + 헌신 => 충의(T4)|승격 재배치|신의=신규 잠정. TSYN PP09
PT|대정점|갈림|원융 ↔ 화광동진|T5|(합성 아님 — 도달 문법 재설계 대기)|철회|T5 합성 배제 — 상태/시그니처 도달 재설계
AT|체질 합성|—|감각폭풍|T4|감각혼선 + 변덕감도 => 감란(T3) / 감란 + 과감도 => 감각폭풍(T4)|승격 재배치|감란=신규 잠정. TSYN AA07
AT|체질 합성|—|마비독체질|T4|독감도 + 마취감도 => 둔마(T3) / 둔마 + 둔감체질 => 마비독체질(T4)|승격 재배치|둔마=신규 잠정. TSYN AA10
AT|S성향 종착|—|여왕|T4|S기질 + 지배적 => 여왕기질(T3) / 여왕기질 + 오만 => 여왕(T4)|잠정|여왕기질=신규 잠정. 팔레트 ☆여왕
BT|전투 방어|—|각린(角鱗)|T4|경갑 + 전투체형 => 생체갑주(T3) / 생체갑주 + 강인 => 각린(角鱗)(T4)|잠정|생체갑주=교차 T3 재활용. 용린 충돌 해소→각린(뿔과 비늘 — 몬무스 결. 印 발음 회피로 인갑 기각)
AT|체질(BT서 이관)|—|감로체질(甘露體質)|T4|점액체 + 유연 => 점액변성(T3) / 점액변성 + 과감도 => 감로체질(T4)|잠정|근사명 해소→감로(甘露 — 달콤한 이슬, 연금술 ros 결도 겹침)
BT|탐사·생활|—|야행|T4|호기심 + 탐사체질 => 탐사광(T3) / 탐사광 + 야성 => 야행(T4)|잠정|탐사광=교차 T3 재활용(PT×BT)
BT|재생·항상성|—|탈피|T4|회복빠름 + 유연 => 재생피부(T3) / 재생피부 + 강인 => 탈피(T4)|잠정|재생피부=신규 잠정. 몬무스 결(뱀·곤충)
BT|대정점|갈림|우화(羽化) ↔ 이형(異形)|T5|(합성 아님 — 도달 문법 재설계 대기)|철회|T5 합성 배제 — 상태/시그니처 도달 재설계
PT|행성 극 합성|—|해맑음|T3|낙관 + 황금 => 해맑음(T3)|잠정|태양 극 = 낙관(마음)+황금(태양의 금속) — 별-금속 대응 레시피
PT|행성 극 합성|—|달뜸|T3|기분파 + 백은 => 달뜸(T3)|잠정|달 극 = 기분파+백은(달의 금속)
PT|행성 극 합성|—|화끈|T3|호전적 + 무쇠 => 화끈(T3)|잠정|화성 극 = 호전적+무쇠(화성의 금속=철)
PT|행성 극 합성|—|금슬|T3|자애 + 적동 => 금슬(T3)|잠정|금성 극 = 자애+적동(금성의 금속=구리)
PT|행성 극 합성|—|수더분|T3|포용 + 진사 => 수더분(T3)|잠정|수성 극(홀로) = 포용+진사(수성의 금속)
PT|행성 극 합성|—|목가|T3|포용 + 주석 => 목가(T3)|잠정|목성 극 = 포용+주석(목성의 금속)
PT|행성 극 합성|—|토박이|T3|완고 + 연갑 => 토박이(T3)|잠정|토성 극 = 완고+연갑(토성의 금속=납)
PT|모순 승격 후보|갈림|정조관념 ⟷ 정조관둔감|T4|(대기 — 잎 후보: 통합 지조 / 분열 방종)|후보|레티어스 "매핑할만" (2026-07-17) — 승격 시 8번째 쌍
PT|모순 승격 후보|갈림|부끄럼쟁이 ⟷ 부끄럼없음|T4|(대기 — 잎 후보: 통합 염치 / 분열 파렴치)|후보|염치/파렴치 — 자연 낱말 쌍
PT|모순 승격 후보|갈림|감수성 ⟷ 감정결여|T4|(대기 — 잎 후보 미정)|후보|⚠감수성=기존 둔감 쌍의 극이기도(극 이중 소속 — 시스템상 허용, 결 확인만)
PT|모순 극 합성(구 4쌍)|—|명랑|T3|천연 + 회복빠름 => 명랑(T3)|잠정|교차: 회복빠름(BT) — 잘 낫는 몸의 밝음
PT|모순 극 합성(구 4쌍)|—|음울|T3|체념 + 회복느림 => 음울(T3)|잠정|교차: 회복느림(BT) — 잘 낫지 않는 몸이 마음을 가라앉힘
PT|모순 극 합성(구 4쌍)|—|프라이드높음|T3|오만 + 허영 => 프라이드높음(T3)|잠정|
PT|모순 극 합성(구 4쌍)|—|프라이드낮음|T3|자격지심 + 소극적 => 프라이드낮음(T3)|잠정|
PT|모순 극 합성(구 4쌍)|—|억압|T3|의무감 + 수치심 과잉 => 억압(T3)|잠정|교차: 수치심 과잉(AT) — 부끄러움이 마음을 조인다
PT|모순 극 합성(구 4쌍)|—|해방|T3|야성 + 과감도 => 해방(T3)|잠정|교차: 과감도(AT) — 몸의 감각이 마음을 풀어놓는다
PT|모순 극 합성(구 4쌍)|—|꿋꿋함|T3|꿋꿋함 + 강인 => 의연(T3)|잠정|정정: 극=의연. 꿋꿋함(T1 기질)+강인(BT)이 단련되어 의연 — 꿋꿋함 참여 배선 겸
PT|모순 극 합성(구 4쌍)|—|엄살|T3|수줍음 + 의존 => 엄살(T3)|잠정|
BT|전투 공세 보조|—|강완(鋼腕)|T4|무쇠 + 강인 => 철골(鐵骨)(T3) / 철골 + 전투체형 => 강완(鋼腕)(T4)|잠정|금속 무쇠(철) 재료 — 벼려진 완력. 철골=신규 잠정
BT|전투 공세 보조|—|첨조(尖爪)|T4|각 + 야성 => 야조(野爪)(T3) / 야조 + 무쇠 => 첨조(尖爪)(T4)|잠정|뿔·발톱을 무쇠로 벼림. 야조=신규 잠정
BT|전투 방어|—|외각(外殼)|T4|결정체 + 경직 => 갑각(甲殼)(T3) / 갑각 + 연갑 => 외각(外殼)(T4)|잠정|금속 연갑(납) 재료 — 짓눌리지 않는 껍질. 갑각=신규 잠정
BT|탐사·생활|—|지맥감지|T4|기록가 + 경비적성 => 지맥감지(T4)|잠정|기록가=교차 T3 재활용(관찰벽+탐사체질)
BT|탐사·생활|—|야장체질(冶匠體質)|T4|화염 단조사 + 무쇠 => 야장체질(T4)|잠정|화염 단조사=교차 T3 재활용(업화+단조적성) + 금속 무쇠 — 도시 노동 결(가공소·공방)
BT|탐사·생활|—|녹수(綠手)|T4|촉매체질 + 과습체질 => 녹수(T4)|잠정|촉매체질=교차 T3 재활용(비유체질+약초적성) — 온실·약초 노동 결
BT|재생·항상성|—|재생핵|T4|점액 산란 + 회복빠름 => 재생핵(T4)|잠정|점액 산란=교차 T3 재활용(용해체질+점액체) — 슬라임 코어
AT|체질(BT서 이관)|—|화밀체질(花蜜體質)|T4|약초적성 + 과습체질 => 밀선(蜜腺)(T3) / 밀선 + 과감도 => 화밀체질(T4)|잠정|꽃꿀샘 — 감로체질과 자매 체인. 밀선=신규 잠정
AT|체질(BT서 이관)|—|감응체질(感應體質)|T4|적동 + 감수성 => 통감(通感)(T3) / 통감 + 과감도 => 감응체질(T4)|잠정|금속 적동(구리·금성) 재료 — 닿음이 통하는 몸. 통감=신규 잠정
PT|2경로(고아 구제)|—|수더분|T3|포용 + 달관 => 수더분(T3)|잠정|원안 복원 2경로(금속 주입으로 밀려난 달관 구제) — 다중 경로 선례: 위기감지
PT|2경로(고아 구제)|—|음울|T3|체념 + 침묵 => 음울(T3)|잠정|원안 복원 2경로(침묵 구제)
CT|2경로(고아 구제)|—|백야|T4|난반사 + 월광용해 => 백야(T4)|잠정|원안 복원 2경로(월광용해 구제) — 황금 경로와 병존
CT|2경로(고아 구제)|—|부식운|T3|침식물기 + 부식장 => 부식운(T3)|잠정|침식물기 구제 — 식 결 정합
CT|2경로(고아 구제)|—|구속망|T3|침식사 + 속박 => 구속망(T3)|잠정|침식사(장비 깎는 실) 구제 — 포박 결 정합
AT|상향 배선(규칙⑥)|—|열광|T3|발정폭주 + 내열벽 => 열광(T3)|잠정|2경로 — 발정폭주(T2) 소비처 배선
CT|상향 배선(규칙⑥)|—|결정반사갑|T3|카운터 쉘 + 반사 => 결정반사갑(T3)|잠정|2경로 — 카운터 쉘 소비처
BT|상향 배선(규칙⑥)|—|부식 방벽|T3|산성점막 + 점액체 => 부식 방벽(T3)|잠정|2경로 — 산성점막 소비처
CT|상향 배선(규칙⑥)|—|함정술사|T3|슬립 블루머 + 독무 => 함정술사(T3)|잠정|2경로 — 슬립 블루머 소비처
AT|상향 배선(규칙⑥)|—|전신감대|T3|순종적 곡예 + 유연 => 전신감대(T3)|잠정|2경로 — 순종적 곡예 소비처
AT|상향 배선(규칙⑥)|—|점액변성|T3|용해융합 + 유연 => 점액변성(T3)|잠정|2경로 — 용해융합 소비처. 재료 유연으로 교체(수원의 정령과 분기 충돌 해소)
AT|상향 배선(규칙⑥)|—|둔마|T3|내구조교체 + 마취감도 => 둔마(T3)|잠정|2경로 — 내구조교체 소비처
AT|상향 배선(규칙⑥)|—|감각차폐|T4|금욕적 섭취 + 쾌감부정 => 감각차폐(T4)|잠정|원문 설계 실현("감각차폐의 하위 재료") — 금욕적 섭취 T3 승급 경유·깊이 공식 정합
PT|상향 배선(규칙⑥)|—|순백인형|T4|온순 + 쾌감순응 => 인형화(T3) / 인형화 + 가소성 => 순백인형(T4)|잠정|인형화 T3 승급 경유 — 순백인형(기존 직행 T4)의 깊이 위반도 동시 해소
CT|다리(전투×조교)|—|트리거 해피|T4|호전적 + 감정폭발 => 난사광(T2) / 과감도 + 질풍 => 자극무기(T3) / 자극무기 + 마약침 => 자극무기(T3) / 자극무기 + 난사광 => 트리거 해피(T4)|잠정|B-1 체인 공식 v3 정합: 난사광(T1+T1=T2, 육성 병존)·자극무기(T2+T2=T3, 2경로)·트리거 해피(T3+T2=T4). 양방향 루프(때릴수록 감도↑·감도↑수록 데미지↑). ⚠자제심없음(B-1 원안 재료)→감정폭발 대체
CT|배선(규칙③)|—|청정|T3|자연치유 + 정화 => 청정(T3)|잠정|치유 계열 묶음
CT|배선(규칙③)|—|풍요|T3|대지의 축복 + 공생 => 풍요(T3)|잠정|대지·공생 지원 묶음
CT|배선(규칙③)|—|주목|T3|도발 + 포효 => 주목(T3)|잠정|어그로 계열 — 도발·포효(신규 7 잔여) 배선
CT|배선(규칙③)|—|밀봉|T3|방부 + 봉인포박 => 밀봉(T3)|잠정|식 봉인 묶음
CT|배선(규칙③)|—|영역부식|T3|영역장악 + 인분 => 영역부식(T3)|잠정|2경로 — 식 영역 묶음
CT|배선(규칙③)|—|인과율|T3|인과사 + 운명편집 => 인과율(T3)|잠정|광 인과 묶음(교차 주입 때 밀려난 인과사 구제)
CT|배선(규칙③)|—|해석|T3|해독 + 해체 => 해석(T3)|잠정|광 분석 묶음
CT|배선(규칙③)|—|난반사|T3|형태 불안정 + 반사 => 난반사(T3)|잠정|2경로
CT|배선(규칙③)|—|온천|T3|해류 + 향기 => 온천(T3)|잠정|열 지원 묶음(향기 구제)
CT|배선(규칙③)|—|정광|T3|정밀연성 + 집속광 => 정광(T3)|잠정|2경로
CT|배선(규칙③)|—|석신|T3|석화 + 이중체 => 석신(T3)|잠정|위 석화 분신 묶음
CT|배선(규칙③)|—|임계폭발|T3|과부하 + 마력 증폭 => 임계폭발(T3)|잠정|2경로 — 마력 증폭 배선
CT|배선(규칙③)|—|고룡갑|T3|용린 + 화석갑 => 고룡갑(T3)|잠정|위 방어 묶음(CT 용린 배선)
CT|배선(규칙③)|—|경정|T3|경화 + 결정화 => 경정(T3)|잠정|경화 결정 묶음
CT|배선(규칙③)|—|동행진|T3|추적자 + 공생 => 동행진(T3)|잠정|지원 동행 묶음
CT|배선(규칙③)|—|잿불|T3|소각재 + 자연치유 => 잿불(T3)|잠정|재에서 회복 — 불사조(팔레트 예비) 사다리 후보
PT|배선(규칙③)|—|침착|T3|신중 + 자제심 => 침착(T3)|잠정|마음가짐 묶음
PT|배선(규칙③)|—|무념|T3|무관심 + 무심 => 무념(T3)|잠정|
PT|배선(규칙③)|—|오기|T3|저항 + 집념 => 오기(T3)|잠정|
PT|배선(규칙③)|—|억압|T3|의무감 + 일선을넘지않음 => 억압(T3)|잠정|2경로 원안 복원(일선을넘지않음 구제)
PT|배선(규칙③)|—|과시욕|T3|눈에띄고싶음 + 유치 => 과시욕(T3)|잠정|
PT|배선(규칙③)|—|가면|T3|흉내쟁이 + 무표정 => 가면(T3)|잠정|의태+무표정=페르소나 (flavor 2 구제)
PT|배선(규칙③)|—|수집광|T3|수집벽 + 광적 탐구 => 수집광(T3)|잠정|
PT|배선(규칙③)|—|학자기질|T3|탐구적 + 학구열 => 학자기질(T3)|잠정|
PT|배선(규칙③)|—|비가|T3|예술감각 + 애석 => 비가(悲歌)(T3)|잠정|슬픔+예술=엘레지 (애석 삭제 후보→구제)
PT|배선(규칙③)|—|규율|T3|시간엄수 + 청결 => 규율(T3)|잠정|생활 묶음
PT|배선(규칙③)|—|금욕|T3|절식 + 무심 => 금욕(T3)|잠정|
PT|배선(규칙③)|—|동결심|T3|무감정(표면) + 초연 => 동결심(T3)|잠정|flavor 2 구제
PT|배선(규칙③)|—|은자|T3|초탈 + 고고 => 은자(T3)|잠정|flavor 2 구제(초탈 삭제 후보→구제)
PT|배선(규칙③)|—|달뜸|T3|기분파 + 종잡을수없음 => 달뜸(T3)|잠정|2경로 원안 복원(종잡을수없음 구제)
PT|배선(규칙③)|—|간호|T3|자기희생 + 진정 => 간호(T3)|잠정|2경로 — PT 자기희생 배선 ⚠자기희생 동명 3종(PT base·TSYN PP·교차 CT) 정합 대장行
PT|배선(규칙③)|—|각인독점|T3|집착 + 집착결속 => 각인독점(T3)|잠정|2경로 — 집착 배선
AT|배선(규칙③)|—|가학성|T3|가학적 + 도착적 => 가학성(T3)|잠정|교차(PT+AT) — S성향 라인 재료
AT|배선(규칙③)|—|약탐|T3|미약중독 + 중독되기쉬움 => 약탐(T3)|잠정|교차(AT+BT) 약물 묶음
AT|배선(규칙③)|—|자열|T3|자위하기쉬움 + 발정주기 => 자열(T3)|잠정|
AT|배선(규칙③)|—|결벽감각|T3|음모없음 + 정애미각 => 결벽감각(T3)|잠정|결벽 그룹 묶음
AT|배선(규칙③)|—|향감|T3|냄새민감 + 향기 => 향감(T3)|잠정|교차(AT+CT)
AT|배선(규칙③)|—|무취각|T3|냄새둔감 + 불결무시 => 무취각(T3)|잠정|
AT|배선(규칙③)|—|감핵|T3|유두타입 + 음핵타입 => 감핵(T3)|잠정|성징 묶음
BT|배선(규칙③)|—|거한|T3|거구 + 강인 => 거한(T3)|잠정|
BT|배선(규칙③)|—|모성체|T3|거유 + 모유분비 => 모성체(T3)|잠정|
BT|배선(규칙③)|—|혀끝감각|T3|고양이혀 + 요리적성 => 혀끝감각(T3)|잠정|
BT|배선(규칙③)|—|정화체질|T3|중독되기어려움 + 정화 => 정화체질(T3)|잠정|교차(BT+CT)
BT|배선(규칙③)|—|어부|T3|낚시적성 + 수영적성 => 어부(T3)|잠정|물일 적성 묶음
