; 교차 합성 흡수 스테이징 v0.5 — 무좌석 T4 다이어트: 20건 T3 강등(감각차폐·순백인형=체인 편입분 좌석 인정 유지)
; 교차 합성 흡수 스테이징 v0.4 — T2 합성 산출 전면 폐지(공식 정정): 잔여 T2 산출 8=육성 직접 전환(레시피 편입 제외). 티어다운 T1 26=선천 풀 확정(레시피 폐기 확정)
; 교차 합성 흡수 스테이징 v0.3 — 규칙⑥ 처리: T2 종착 15 → T3 승급 7(감언독·구속애착·제로 리미트·인형화·금욕적 섭취·쾌락의 조각상·순종속박) + 상향 배선 9(chains 참조)
; 교차 합성 흡수 스테이징 v0.2 (2026-07-17) — 미등재 재작: 병합 10(수치심과잉=공백·질투→질투많음·쾌활→명랑·독점욕→소유욕·자존심→프라이드높음·고집→완고·무감정→무감정(표면) + 잠정: 잔혹→냉혹·재생→자기수복·돌진→분쇄돌진) + 신규 7(온순·냉정 PT / 위장·질풍·흡수·수면독·포효 CT)
; 재검증: 재료 완비 115/115
; ⚠극 T3 승급(2026-07-17)으로 티어 재검토 필요 레시피: 유격병 · 심판관 · 순결의 역설 · 온기전파 (T2+T3 조합이 됨 — 편입 시 재티어)
; 임계돌파↔한계돌파 = 병합 완료(2026-07-17, 임계돌파→한계돌파 흡수 — 위임 처리)
sec|src|mat1|mat1존재|mat2|mat2존재|result|resultCat|tier|tierdown|effect
성격(PT) × 성인(AT)|G|오만|O|쾌감순응|O|몰락귀족|AT|T3||[⬇T3 강등 2026-07-17 — 무좌석 T4 다이어트(레티어스). 베이스2 직행이라 T3=공식 정합, 개별 재승격 여지는 열매 좌석 증설 시] resentment↔감도 역비례. 자존심이 꺾일수록 감도↑
성격(PT) × 성인(AT)|G|수동적|O|기록체질|O|인형 조서|AT|T1|⬇|[선천 편입 완료 2026-07-17 — traits.csv 등재·레시피 폐기(T1 산출 없음)·상향 배선 완료] 반복 페널티 경감(90%→80%→70%→60%)
성격(PT) × 성인(AT)|G|호기심|O|가소성|O|관측자 효과|AT|T1|⬇|[선천 편입 완료 2026-07-17 — traits.csv 등재·레시피 폐기(T1 산출 없음)·상향 배선 완료] 미경험 행위 시 부위 감도 +5. 전환 보너스 ×1.5
성격(PT) × 성인(AT)|G|냉정|O|감각혼선|O|기계적 쾌락|AT|T3||[⬇T3 강등 2026-07-17 — 무좌석 T4 다이어트(레티어스). 베이스2 직행이라 T3=공식 정합, 개별 재승격 여지는 열매 좌석 증설 시] 감정 변동 -70%. 감도만으로 효율 계산
성격(PT) × 성인(AT)|G|온순|O|쾌감순응|O|인형화|PT|T3|⬇|[T3 승급 2026-07-17 — 효과 T3급 판정·규칙⑥] resentment -80%. submission +50%
성격(PT) × 성인(AT)|G|교활|O|영리한소비|O|사기꾼|CT|T1|⬇|[선천 편입 완료 2026-07-17 — traits.csv 등재·레시피 폐기(T1 산출 없음)·상향 배선 완료] [재료 교체 2026-07-17 — 교활+유혹 3중 분기 해소, 요설 단일화(레티어스)] 탐사 보상 +30%. soulPower +15%
성격(PT) × 성인(AT)|G|프라이드높음|O|수치심 과잉|O|순결의 역설|AT|T3||[⬇T3 강등 2026-07-17 — 무좌석 T4 다이어트(레티어스). 베이스2 직행이라 T3=공식 정합, 개별 재승격 여지는 열매 좌석 증설 시] 미경험 상실 시 전부위 감도 +15 영구 + shame 연동 ×1.3
성격(PT) × 성인(AT)|G|냉혹|O|M기질|O|피의 제물|CT|T3||피격 데미지 20%→아군 HP 회복. 식 속성
전투(CT) × 성인(AT)|C|마비촉수|O|과감도|O|감각포화|AT|T3||[⬇T3 강등 2026-07-17 — 무좌석 T4 다이어트(레티어스). 베이스2 직행이라 T3=공식 정합, 개별 재승격 여지는 열매 좌석 증설 시] discipline 후 전부위 감도 ×2 + 반감 0
전투(CT) × 성인(AT)|C|독침|O|약물감수성|O|마약침|AT|T2|⬇|[재티어 판정 대기 — 공식 v3: 재료 T1+T1이면 T2 유지·레시피 복권 / T2 포함이면 T3 승급 검토(소비처 연쇄 포함). 편입 패스에서] 광 공격 적중→쾌감 +10. 전투/조교 하이브리드
전투(CT) × 성인(AT)|C|업화|O|용해체질|O|열융해|AT|T3||[⬇T3 강등 2026-07-17 — 무좌석 T4 다이어트(레티어스). 베이스2 직행이라 T3=공식 정합, 개별 재승격 여지는 열매 좌석 증설 시] 열 자극 감도 ×3 + 가마 +30% + temp:"작열"
전투(CT) × 성인(AT)|C|결속사|O|쾌감순응|O|순종속박|AT|T3|⬇|[T3 승급 2026-07-17 — 반감 무효+경험치 2배는 T3급·규칙⑥] discipline 시 resentment 0. 경험치 ×2
전투(CT) × 성인(AT)|C|흡수|O|쾌감부정|O|감각차폐|AT|T4||[교체 2026-07-17 — 신 레시피=금욕적 섭취+쾌감부정(chains), 본 직행 레시피는 편입 제외] 쾌감→HP. 붕괴 시 일괄 방출+영구 변화
전투(CT) × 성인(AT)|C|수면독|O|둔감체질|O|몽환조교|AT|T3||약물 후 조교: resentment/fear 0, 감도 ×0.5, 잔류 +10%
전투(CT) × 성인(AT)|C|부식장|O|침식용이|O|점진침식|AT|T1|⬇|[선천 편입 완료 2026-07-17 — traits.csv 등재·레시피 폐기(T1 산출 없음)·상향 배선 완료] 반복 시 감도 +1 영구 누적(상한 50)
전투(CT) × 성인(AT)|C|정밀절개|O|해부감도|O|해부조교|AT|T3|⬇|감도 차이 ×1.5 증폭. 최고감도 절정 임계 -20%
전투(CT) × 성인(AT)|C|과부하|O|발정주기|O|발정폭주|AT|T2|⬇|[재티어 판정 대기 — 공식 v3: 재료 T1+T1이면 T2 유지·레시피 복권 / T2 포함이면 T3 승급 검토(소비처 연쇄 포함). 편입 패스에서] 발정기: ATK +30%, 감도 ×1.5
전투(CT) × 성인(AT)|C|냉기방사|O|마취감도|O|동면조교|AT|T1|⬇|[선천 편입 완료 2026-07-17 — traits.csv 등재·레시피 폐기(T1 산출 없음)·상향 배선 완료] resentment/fear 0 + 감도 ×0.2. 안전한 느린 조교
전투(CT) × 성인(AT)|G|흡수|O|쾌감부정|O|금욕적 섭취|AT|T3||[T3 승급 2026-07-17 — 효과 T3급 판정·규칙⑥] 감각차폐(T4)의 하위 재료. 쾌감→HP
전투(CT) × 성인(AT)|G|냉기방사|O|둔감체질|O|영구동토|CT|T3||열 area. 적 SPD -25%. 동 속성 추가 dmgMul +0.3
전투(CT) × 성인(AT)|G|독무|O|비유체질|O|독정|BT|T3||식 area. 적 DEF -15%(2R). 시설 배치 시 재료 생산
전투(CT) × 성인(AT)|G|마비촉수|O|가소성|O|난교형 촉수|CT|T3|⬇|동 area. lewdness 비례 dmgMul(50당 +0.1, 최대 +0.5)
전투(CT) × 성인(AT)|G|내열벽|O|발정주기|O|열광|CT|T3|⬇|발정기: 열 속성 추가 + dmgMul +0.3 + 열 내성 +30%
전투(CT) × 성인(AT)|G|위장|O|무방비|O|복병|CT|T3||첫 R AP +2, 첫 공격 dmgMul 1.8, 이후 DEF -20%
전투(CT) × 성인(AT)|G|결정방벽|O|약물내성|O|카운터 쉘|CT|T2|⬇|[재티어 판정 대기 — 공식 v3: 재료 T1+T1이면 T2 유지·레시피 복권 / T2 포함이면 T3 승급 검토(소비처 연쇄 포함). 편입 패스에서] 광/식 피격 -30%. 피격 시 15% 반사
전투(CT) × 성인(AT)|G|부식장|O|과습체질|O|산성점막|AT|T2|⬇|[재티어 판정 대기 — 공식 v3: 재료 T1+T1이면 T2 유지·레시피 복권 / T2 포함이면 T3 승급 검토(소비처 연쇄 포함). 편입 패스에서] 식 속성. v/anal 감도 ×1.3 + 전투 물리 식 추가(ATK×0.1)
전투(CT) × 성인(AT)|G|산호침식|O|각인용이|O|예속의 침식|AT|T3||[⬇T3 강등 2026-07-17 — 무좌석 T4 다이어트(레티어스). 베이스2 직행이라 T3=공식 정합, 개별 재승격 여지는 열매 좌석 증설 시] 전투 승리→침식 각인. 재대면 dmgMul +0.3. 각인 ×1.5
전투(CT) × 신체(BT)|병합|분쇄돌진|O|대체형|O|거신돌파|CT|T3||동 area. dmgMul 1.5. maxHp×0.1→ATK 가산
전투(CT) × 신체(BT)|병합|찌르기|O|각|O|관통충각|CT|T3||위 속성. DEF 50% 무시 + DEF×0.3 추가
전투(CT) × 신체(BT)|C|냉기방사|O|점액체|O|동결점액|CT|T3||열 single. SPD -30%(1R). 열방어↓적 dmgMul +0.3
전투(CT) × 신체(BT)|C|반사|O|결정체|O|결정반사갑|BT|T3|⬇|광 피격 -50%. DEF +25%. visual:"프리즘 산란"
전투(CT) × 신체(BT)|병합|질풍|O|유익|O|폭풍기동|CT|T3||동 속성. AP +1. 동 dmgMul 1.2
전투(CT) × 신체(BT)|C|과부하|O|강인|O|내압강화|BT|T1|⬇|[선천 편입 완료 2026-07-17 — traits.csv 등재·레시피 폐기(T1 산출 없음)·상향 배선 완료] 반동 효과 50% 경감. maxHp +20%
전투(CT) × 신체(BT)|C|위장|O|비늘|O|변색비늘|BT|T3||DEF +15%. 선제 +25%. visual:"주변과 동화"
전투(CT) × 신체(BT)|C|산호침식|O|점액체|O|부식점액|CT|T3||[⬇T3 강등 2026-07-17 — 무좌석 T4 다이어트(레티어스). 베이스2 직행이라 T3=공식 정합, 개별 재승격 여지는 열매 좌석 증설 시] 식 single. DEF -15%(2R). 분쇄기 +20%
전투(CT) × 신체(BT)|C|경갑|O|전투체형|O|생체갑주|BT|T3|⬇|DEF +35%. 피격 시 위 카운터(DEF×0.2)
전투(CT) × 신체(BT)|C|해체분석|O|단조적성|O|소재감정|BT|T3||workshop 품질 +1. 분쇄기/압축기 부산물 +25%
전투(CT) × 신체(BT)|G|결정방벽|O|결정체|O|프리즘 바디|BT|T3|⬇|광 피격 -50% + 반격(ATK×0.3). visual:"무지개빛"
전투(CT) × 신체(BT)|G|용해액|O|점액체|O|부식 방벽|BT|T3||식 속성. 적 DEF -20%(2R). texture:"점성 피막"
전투(CT) × 신체(BT)|G|독무|O|체모|O|독무 산포|CT|T1|⬇|[선천 편입 완료 2026-07-17 — traits.csv 등재·레시피 폐기(T1 산출 없음)·상향 배선 완료] 광(독) area. 매R 적 전체 ATK×0.1. smell:"독기"
전투(CT) × 신체(BT)|G|반사|O|비늘|O|거울 비늘|BT|T1|⬇|[선천 편입 완료 2026-07-17 — traits.csv 등재·레시피 폐기(T1 산출 없음)·상향 배선 완료] 광 50% 반사. DEF +15%
전투(CT) × 신체(BT)|G|수면독|O|허약|O|슬립 블루머|CT|T2|⬇|[재티어 판정 대기 — 공식 v3: 재료 T1+T1이면 T2 유지·레시피 복권 / T2 포함이면 T3 승급 검토(소비처 연쇄 포함). 편입 패스에서] 광(독) area. SPD -25% + ATK -10%(1R)
전투(CT) × 신체(BT)|G|업화|O|단조적성|O|화염 단조사|BT|T3|⬇|가마 결과 등급 +1. temp:"단조열"
전투(CT) × 신체(BT)|G|암습|O|미부|O|꼬리 기습|CT|T1|⬇|[선천 편입 완료 2026-07-17 — traits.csv 등재·레시피 폐기(T1 산출 없음)·상향 배선 완료] 첫R AP +1. 첫 공격 광 추가(ATK×0.15)
성격(PT) × 신체(BT)|C|호기심|O|탐사체질|O|탐사광|BT|T3||보상 +20%. 숨겨진 노드 +25%. smell:"습한 돌"
성격(PT) × 신체(BT)|C|헌신|O|약초적성|O|약사의 손|BT|T3||[⬇T3 강등 2026-07-17 — 무좌석 T4 다이어트(레티어스). 베이스2 직행이라 T3=공식 정합, 개별 재승격 여지는 열매 좌석 증설 시] 약초 가공 ×2. greenhouse +30%. smell:"허브 향"
성격(PT) × 신체(BT)|C|결벽|O|유연|O|정밀기교|BT|T1|⬇|[선천 편입 완료 2026-07-17 — traits.csv 등재·레시피 폐기(T1 산출 없음)·상향 배선 완료] workshop 품질 +1
성격(PT) × 신체(BT)|C|충직|O|경비적성|O|불침번|CT|T3||expeditionHQ 경비 +30%. 선제 +30%. sound:"발소리"
성격(PT) × 신체(BT)|C|온순|O|조련적성|O|목양자|BT|T3||[⬇T3 강등 2026-07-17 — 무좌석 T4 다이어트(레티어스). 베이스2 직행이라 T3=공식 정합, 개별 재승격 여지는 열매 좌석 증설 시] slimeFarm +40%. 변이 +15%
성격(PT) × 신체(BT)|C|오만|O|대체형|O|군림하는 체구|PT|T3||시설 +15%. love -2/월. visual:"압도적 존재감"
성격(PT) × 신체(BT)|C|수줍음|O|소체형|O|은밀한 숙련|BT|T1|⬇|[선천 편입 완료 2026-07-17 — traits.csv 등재·레시피 폐기(T1 산출 없음)·상향 배선 완료] 시설 효율 정상, 풍경태그 없음. 스태미나 -15%
성격(PT) × 신체(BT)|C|명랑|O|체모|O|온기전파|PT|T3||배치 유닛 love +2/월. temp:"따뜻함"+texture:"접촉"
성격(PT) × 신체(BT)|C|호전적|O|전투체형|O|전투광|CT|T3||[⬇T3 강등 2026-07-17 — 무좌석 T4 다이어트(레티어스). 베이스2 직행이라 T3=공식 정합, 개별 재승격 여지는 열매 좌석 증설 시] 탐사 내 전투마다 ATK +10%(최대+50%). 강적 SPD +10%
성격(PT) × 신체(BT)|C|내향|O|연금적성|O|독자연구|BT|T3||히든 레시피 +25%. smell:"시약"+visual:"증기"
성격(PT) × 신체(BT)|G|헌신|O|조련적성|O|마더 슬라임|BT|T3|⬇|slimeFarm 손실 0% + 수급 ×1.5. smell:"점액"
성격(PT) × 신체(BT)|G|경계심|O|경비적성|O|파수견|CT|T3||expeditionHQ +35%. 첫R AP +1. sound:"경계음"
성격(PT) × 신체(BT)|G|관찰벽|O|탐사체질|O|기록가|BT|T3||숨겨진 노드 +30%. 클리어 보상 +15%
성격(PT) × 신체(BT)|G|온순|O|유연|O|순종적 곡예|AT|T2|⬇|[재티어 판정 대기 — 공식 v3: 재료 T1+T1이면 T2 유지·레시피 복권 / T2 포함이면 T3 승급 검토(소비처 연쇄 포함). 편입 패스에서] 해금 요구치 -30%. pain -40%
성격(PT) × 신체(BT)|G|변덕|O|점액체|O|부정형 심장|PT|T1|⬇|[선천 편입 완료 2026-07-17 — traits.csv 등재·레시피 폐기(T1 산출 없음)·상향 배선 완료] 매 전투 무작위 원소 내성 +25%
성격(PT) × 신체(BT)|G|소심|O|소체형|O|구석의 지배자|BT|T3||시설 +20%. 혼자면 +40%
성격(PT) × 신체(BT)|G|완고|O|강인|O|철의 노동자|BT|T3||workshop +50%. 단조적성 추가 +25%
성격(PT) × 신체(BT)|G|질투많음|O|미부|O|휘감는 애정|AT|T3||타유닛 love -2/월. 각인 대상 감도 +20%
성격(PT) × 신체(BT)|G|결벽|O|체모|O|그루밍|PT|T1|⬇|[선천 편입 완료 2026-07-17 — traits.csv 등재·레시피 폐기(T1 산출 없음)·상향 배선 완료] 시설 효율 +10%. texture:"정돈됨"+smell:"청결"
성인(AT) × 신체(BT)|C|과감도|O|유연|O|전신감대|AT|T3|⬇|전부위 감도 +20%. 해금 요구치 -20%
성인(AT) × 신체(BT)|C|용해체질|O|유연|O|용해융합|AT|T2|⬇|[재료 교체 2026-07-17 — 의도 분기 분리(레티어스): 용해체질+유연] skin 행위 시 전부위 감도 분배. 감도 차이 축소
성인(AT) × 신체(BT)|C|M기질|O|강인|O|내구조교체|AT|T2|⬇|[재티어 판정 대기 — 공식 v3: 재료 T1+T1이면 T2 유지·레시피 복권 / T2 포함이면 T3 승급 검토(소비처 연쇄 포함). 편입 패스에서] pain 상한 ×2. 변환율 +20%. resentment -30%
성인(AT) × 신체(BT)|C|발정주기|O|미부|O|발정징후|AT|T1|⬇|[선천 편입 완료 2026-07-17 — traits.csv 등재·레시피 폐기(T1 산출 없음)·상향 배선 완료] 발정기 감도 +20%. visual:"불안한 흔들림"
성인(AT) × 신체(BT)|C|과습체질|O|소체형|O|과민소체|AT|T3||[⬇T3 강등 2026-07-17 — 무좌석 T4 다이어트(레티어스). 베이스2 직행이라 T3=공식 정합, 개별 재승격 여지는 열매 좌석 증설 시] v/anal 감도 ×3. 절정 임계 -40%
성인(AT) × 신체(BT)|C|침식용이|O|비늘|O|침식변이|BT|T3||[⬇T3 강등 2026-07-17 — 무좌석 T4 다이어트(레티어스). 베이스2 직행이라 T3=공식 정합, 개별 재승격 여지는 열매 좌석 증설 시] 조교→외형→풍경 연동. 비가역 변화
성인(AT) × 신체(BT)|C|각인용이|O|조련적성|O|조련각인|AT|T3||[⬇T3 강등 2026-07-17 — 무좌석 T4 다이어트(레티어스). 베이스2 직행이라 T3=공식 정합, 개별 재승격 여지는 열매 좌석 증설 시] slimeFarm +50%. 특수 태그 핵 생산
성인(AT) × 신체(BT)|C|해부감도|O|결정체|O|결정공명|AT|T1|⬇|[선천 편입 완료 2026-07-17 — traits.csv 등재·레시피 폐기(T1 산출 없음)·상향 배선 완료] 같은 시설 유닛 감도 +3. sound:"맑은 진동"
성인(AT) × 신체(BT)|C|비유체질|O|약초적성|O|촉매체질|BT|T1|⬇|약초 효능 ×2. greenhouse +20%
성인(AT) × 신체(BT)|C|신뢰개방|O|탐사체질|O|탐사유대|PT|T1|⬇|[선천 편입 완료 2026-07-17 — traits.csv 등재·레시피 폐기(T1 산출 없음)·상향 배선 완료] 동행 호감 ×2. 보상 +10%
성인(AT) × 신체(BT)|G|점액체|O|발정주기|O|점액 산란|BT|T3|⬇|[재료 교체 2026-07-17 — 분기 분리: 점액체+발정주기(산란=번식 결)] 절정 시 슬라임핵 획득(확률). slimeFarm 불필요
성인(AT) × 신체(BT)|G|독감도|O|비늘|O|중독성 피부|AT|T1|⬇|[선천 편입 완료 2026-07-17 — traits.csv 등재·레시피 폐기(T1 산출 없음)·상향 배선 완료] lewdness ×1.5. skin 감도 +15%. texture:"중독성"
성인(AT) × 신체(BT)|G|쾌감순응|O|경직|O|쾌락의 조각상|AT|T3|⬇|[T3 승급 2026-07-17 — 효과 T3급 판정·규칙⑥] 절정 후 감도 변동 0. 다음 전투 DEF +20%
성인(AT) × 신체(BT)|G|각인용이|O|각|O|복종의 안테나|PT|T1|⬇|[선천 편입 완료 2026-07-17 — traits.csv 등재·레시피 폐기(T1 산출 없음)·상향 배선 완료] 타시설 유닛에 적성 +10% 전파. 각인 ×1.3
성인(AT) × 신체(BT)|G|과습체질|O|점액체|O|수원의 정령|BT|T1|⬇|[선천 편입 완료 2026-07-17 — traits.csv 등재·레시피 폐기(T1 산출 없음)·상향 배선 완료] well +1.5배. 물 재료 품질 +1. temp:"시원한 습기"
성인(AT) × 신체(BT)|G|무방비|O|소체형|O|작은 구멍|AT|T1|⬇|[선천 편입 완료 2026-07-17 — traits.csv 등재·레시피 폐기(T1 산출 없음)·상향 배선 완료] v/anal 경험치 ×2. pain +30%
성인(AT) × 신체(BT)|G|약물감수성|O|약초적성|O|인체 연금솥|BT|T3||[⬇T3 강등 2026-07-17 — 무좌석 T4 다이어트(레티어스). 베이스2 직행이라 T3=공식 정합, 개별 재승격 여지는 열매 좌석 증설 시] 약물+조교→특수 재료 획득. 약초 연동. smell:"약향"
성인(AT) × 신체(BT)|G|감각혼선|O|결정체|O|공감각 진동|AT|T1|⬇|[선천 편입 완료 2026-07-17 — traits.csv 등재·레시피 폐기(T1 산출 없음)·상향 배선 완료] 절정 시 같은 시설 감도 +2. sound:"결정 진동"
성인(AT) × 신체(BT)|G|침식용이|O|체모|O|기생 번식|BT|T3|⬇|음란 비례 월간 특수 재료 생산. texture:"자라는 감촉"
성인(AT) × 신체(BT)|G|헌신반응|O|미부|O|충성스러운 미동|PT|T1|⬇|[선천 편입 완료 2026-07-17 — traits.csv 등재·레시피 폐기(T1 산출 없음)·상향 배선 완료] 봉사 시 같은 시설 love +1. visual:"흔들리는 꼬리"
